Device-ID,X-Coordinate,Y-Coordinate,Laser-Power(dB),Wavelength,Channel-1,Channel-2
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.0,-38.2461,-47.4874
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.008,-37.9942,-47.8268
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.016,-37.7794,-47.9462
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.024,-37.5305,-47.8268
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.032,-37.2951,-47.8268
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.04,-37.0817,-47.4874
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.048,-36.9164,-47.4874
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.056,-36.8033,-47.7108
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.064,-36.8033,-47.8268
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.072,-36.8219,-47.9462
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.08,-36.8878,-48.5975
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.088,-36.9643,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.096,-37.0521,-48.1949
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.104,-37.1116,-48.3251
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.112,-37.2228,-48.3251
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.12,-37.182,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.128,-37.1316,-48.4591
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.136,-37.0521,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.144,-36.9837,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.152,-36.9837,-48.5975
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.16,-36.9451,-49.041
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.168,-36.8973,-48.4591
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.176,-36.9068,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.184,-36.8878,-48.1949
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.192,-36.8783,-48.4591
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.2,-36.7755,-49.041
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.208,-36.7204,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.216,-36.5504,-48.3251
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.224,-36.4123,-48.1949
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.232,-36.2866,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.24,-36.1007,-48.8882
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.248,-35.9914,-48.7403
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.256,-35.953,-48.0688
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.264,-35.9301,-48.3251
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.272,-35.9377,-48.0688
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.28,-36.0379,-47.7108
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.288,-36.0692,-48.0688
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.296,-36.1805,-48.5975
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.304,-36.2949,-47.7108
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.312,-36.4293,-47.7108
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.32,-36.6212,-48.4591
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.328,-36.7663,-47.8268
alignment_GC_1,-4459.875,-4231.55,6.4461,1500.336,-36.8878,-47.7108
